entry_time,exit_time,side,entry_price,exit_price,hold_time,pnl_pct,pnl_dollars,balance,exit_reason
2025-08-07 12:45:00,2025-08-07 12:50:00,SHORT,116001.8,116315.7,1,-0.01482396997287953,-62.12654251128313,8319.776905073097,stop_loss
2025-08-07 14:35:00,2025-08-07 14:45:00,LONG,116576.0,116321.0,2,-0.012749656876200933,-53.03715041311146,8266.739754659986,stop_loss
2025-08-07 16:40:00,2025-08-07 17:10:00,SHORT,116052.3,116334.7,6,-0.013733542549350393,-56.765811082514674,8209.973943577472,stop_loss
2025-08-07 17:55:00,2025-08-07 18:10:00,LONG,116460.1,116170.2,3,-0.01395705825428653,-57.29354229834264,8152.680401279129,stop_loss
2025-08-07 18:55:00,2025-08-07 19:40:00,LONG,116513.8,117093.4,9,0.01589807215969237,64.80595065722267,8217.486351936352,take_profit
2025-08-07 22:10:00,2025-08-08 00:15:00,LONG,117406.4,116855.0,25,-0.022786028700309154,-93.62193992981024,8123.864412006541,stop_loss
2025-08-08 06:50:00,2025-08-08 10:40:00,LONG,116638.7,116413.0,46,-0.011740141136689523,-47.687657386143016,8076.176754620398,stop_loss
2025-08-08 11:05:00,2025-08-08 12:35:00,LONG,116736.3,116513.8,18,-0.011624020977193898,-46.938824005616624,8029.237930614781,stop_loss
2025-08-08 13:35:00,2025-08-08 14:05:00,LONG,116729.1,116879.0,6,0.0011366797139700097,4.563335937184181,8033.801266551965,trailing_stop
2025-08-08 20:35:00,2025-08-08 21:15:00,LONG,116545.5,116685.5,8,0.0008049903256667993,3.2335661489520056,8037.034832700918,trailing_stop
2025-08-09 04:25:00,2025-08-09 05:20:00,LONG,116423.3,116929.4,11,0.013388271935256647,53.8010039466649,8090.835836647583,take_profit
2025-08-09 06:30:00,2025-08-09 07:15:00,SHORT,116502.9,116797.6,9,-0.014118203066190169,-57.114031658499606,8033.7218049890835,stop_loss
2025-08-09 15:15:00,2025-08-09 15:20:00,LONG,117015.4,116785.7,1,-0.01185195794741537,-47.60766649698226,7986.114138492101,stop_loss
2025-08-09 20:30:00,2025-08-09 21:25:00,LONG,116697.0,116378.4,11,-0.014920589218232031,-59.578764255177816,7926.535374236923,stop_loss
2025-08-09 22:25:00,2025-08-09 23:25:00,LONG,116641.2,116414.6,12,-0.011770839120310534,-46.65098633579664,7879.8843879011265,stop_loss
2025-08-10 00:15:00,2025-08-10 02:45:00,LONG,116566.9,117126.8,30,0.015213001289388624,59.938345676686566,7939.822733577813,take_profit
2025-08-10 07:35:00,2025-08-10 08:10:00,SHORT,117692.4,118004.4,7,-0.014603913251832744,-57.97624121804995,7881.846492359763,stop_loss
2025-08-10 11:35:00,2025-08-10 12:40:00,LONG,118213.7,118672.4,13,0.01152104366921929,45.40354881627985,7927.250041176043,take_profit
2025-08-10 19:10:00,2025-08-10 20:10:00,LONG,118625.0,118271.2,12,-0.01593003161222349,-63.14067187696717,7864.109369299076,stop_loss
2025-08-11 01:15:00,2025-08-11 01:30:00,SHORT,118966.2,119742.7,3,-0.03010825595841508,-118.38730888791339,7745.722060411163,stop_loss
2025-08-12 00:15:00,2025-08-12 02:45:00,LONG,118830.0,119080.2,30,0.004422115627366729,17.12623928429171,7762.848299695454,trailing_stop
2025-08-12 04:30:00,2025-08-12 05:00:00,LONG,119051.0,118813.5,6,-0.011979773374436167,-46.49858168523934,7716.349718010215,stop_loss
2025-08-12 05:05:00,2025-08-12 05:45:00,SHORT,118825.8,118638.7,8,0.002298295488017108,8.867225870432481,7725.216943880648,trailing_stop
2025-08-12 06:25:00,2025-08-12 08:30:00,LONG,118960.0,118728.8,25,-0.011774041694687192,-45.47851319887736,7679.73843068177,stop_loss
2025-08-12 12:30:00,2025-08-12 13:00:00,LONG,118880.1,118864.6,6,-0.004521533881616856,-17.362098758141343,7662.376331923629,trailing_stop
2025-08-12 17:30:00,2025-08-12 18:10:00,SHORT,119405.5,119749.5,8,-0.015523757280862272,-59.474435185703086,7602.901896737925,stop_loss
2025-08-12 18:15:00,2025-08-12 18:25:00,LONG,119977.1,119732.0,2,-0.012171559405920157,-46.269586046764346,7556.6323106911605,stop_loss
2025-08-12 22:55:00,2025-08-13 00:45:00,LONG,120064.3,119822.2,22,-0.012065678140796418,-45.58794664457113,7511.044364046589,stop_loss
2025-08-13 04:45:00,2025-08-13 05:25:00,SHORT,119338.8,119588.4,8,-0.012366097195547173,-46.44115232293346,7464.6032117236555,stop_loss
2025-08-13 12:50:00,2025-08-13 13:10:00,SHORT,120248.1,120487.4,4,-0.0119602089346938,-44.63910701340065,7419.964104710255,stop_loss
2025-08-13 13:40:00,2025-08-13 13:45:00,SHORT,120340.8,121061.1,1,-0.02794200470663326,-103.66433596843189,7316.299768741823,stop_loss
