entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,side,entry_prob,position_size_pct,hold_time,exit_reason,pnl_pct,balance_before,balance_after
26111,2025-10-13 06:15:00,114979.0,26113,2025-10-13 06:25:00,115052.4,LONG,0.88786274,0.50712955,2,ml_exit,-0.0007335579387063089,2.362636962962836,2.3609038318623736
26112,2025-10-13 06:20:00,114885.4,26113,2025-10-13 06:25:00,115052.4,LONG,0.9296372,0.65682054,1,ml_exit,0.001191794239744848,2.3609038318623736,2.363717543449779
26114,2025-10-13 06:30:00,115077.2,26118,2025-10-13 06:50:00,115178.8,LONG,0.8339553,0.34595644,4,ml_exit,-0.0001620659590970895,2.363717543449779,2.363334465299065
26118,2025-10-13 06:50:00,115178.8,26122,2025-10-13 07:10:00,115352.7,LONG,0.85298866,0.39830577,4,ml_exit,0.0008122672922672605,2.363334465299065,2.3652541245859156
26119,2025-10-13 06:55:00,115175.5,26122,2025-10-13 07:10:00,115352.7,LONG,0.87709653,0.47186404,3,ml_exit,0.0010164360107280783,2.3652541245859156,2.367658254052668
26121,2025-10-13 07:05:00,115168.5,26122,2025-10-13 07:10:00,115352.7,LONG,0.80746096,0.28264385,1,ml_exit,0.000677662008277147,2.367658254052668,2.369262726100023
26186,2025-10-13 12:30:00,114565.0,26189,2025-10-13 12:45:00,114560.0,LONG,0.9742332,0.83709055,3,ml_exit,-0.003494495939678801,2.369262726100023,2.3609833471236343
26189,2025-10-13 12:45:00,114560.0,26192,2025-10-13 13:00:00,114460.4,LONG,0.98058313,0.8643433,3,ml_exit,-0.0064632597079491904,2.3609833471236343,2.345723698585031
26190,2025-10-13 12:50:00,114417.8,26192,2025-10-13 13:00:00,114460.4,LONG,0.977426,0.85074586,2,ml_exit,-0.0021359856872537153,2.345723698585031,2.340713266338602
26192,2025-10-13 13:00:00,114460.4,26198,2025-10-13 13:30:00,115090.4,LONG,0.979364,0.85908145,6,ml_exit,0.015477510322101836,2.340713266338602,2.3769416800794385
26193,2025-10-13 13:05:00,114284.1,26198,2025-10-13 13:30:00,115090.4,LONG,0.93232405,0.6671079,5,ml_exit,0.016157952333009342,2.3769416800794385,2.4153481904445053
26194,2025-10-13 13:10:00,114316.3,26198,2025-10-13 13:30:00,115090.4,LONG,0.9453391,0.7180062,4,ml_exit,0.016576071236080576,2.4153481904445053,2.4553851741092516
26196,2025-10-13 13:20:00,114212.6,26198,2025-10-13 13:30:00,115090.4,LONG,0.91612047,0.6062431,2,ml_exit,0.01621255702428828,2.4553851741092516,2.4951932462610897
26198,2025-10-13 13:30:00,115090.4,26202,2025-10-13 13:50:00,114993.5,LONG,0.8167391,0.3034479,4,ml_exit,-0.002235739633091539,2.4951932462610897,2.4896146438282014
26199,2025-10-13 13:35:00,114725.6,26202,2025-10-13 13:50:00,114993.5,LONG,0.86969584,0.44846764,3,ml_exit,0.002395063072001723,2.4896146438282014,2.495577427925149
