entry_time,exit_time,side,entry_price,exit_price,position_size_pct,pnl_pct,pnl_usd,exit_reason,hold_time
2025-07-21 07:20:00,2025-07-21 09:30:00,SHORT,119500.8,118838.6,0.95,2.216554198800333,637.8092871490528,ML_EXIT,26
2025-07-21 09:30:00,2025-07-21 09:40:00,SHORT,118838.6,118665.2,0.7065953016281128,0.5836487471242802,127.54436649369035,ML_EXIT,2
2025-07-21 09:40:00,2025-07-21 10:00:00,SHORT,118665.2,118666.8,0.6607811450958252,-0.00539332508606001,-1.1067271935267267,ML_EXIT,4
2025-07-21 10:00:00,2025-07-21 10:05:00,SHORT,118666.8,118653.0,0.5282813906669617,0.04651680166652479,7.631080268247369,ML_EXIT,1
2025-07-21 10:05:00,2025-07-21 10:15:00,SHORT,118653.0,118745.2,0.556152880191803,-0.31082231380579367,-53.693776758346864,ML_EXIT,2
2025-07-21 11:00:00,2025-07-21 11:45:00,SHORT,118767.7,118335.2,0.4016893804073334,1.456624991474955,181.4279898087826,ML_EXIT,9
2025-07-21 11:45:00,2025-07-21 13:30:00,LONG,118335.2,118418.2,0.6505780220031738,0.28055895456297025,56.92766915099127,ML_EXIT,21
2025-07-21 13:30:00,2025-07-21 15:55:00,SHORT,118418.2,118362.5,0.579491913318634,0.1881467544684756,34.06716285684994,ML_EXIT,29
2025-07-21 15:55:00,2025-07-21 16:05:00,SHORT,118362.5,118149.2,0.5420587658882141,0.7208364135600479,122.22166511028412,ML_EXIT,2
2025-07-21 16:10:00,2025-07-21 19:25:00,SHORT,118008.8,117087.9,0.4422104060649872,3.1214621282480923,433.45675170247483,ML_EXIT,39
2025-07-22 01:15:00,2025-07-22 01:40:00,LONG,116783.6,117615.8,0.6912832260131836,2.8504002274291835,627.2986646509893,ML_EXIT,5
2025-07-22 03:15:00,2025-07-22 04:05:00,LONG,116820.3,117280.8,0.7131372094154358,1.5767807478665952,365.03219780943266,ML_EXIT,10
2025-07-22 04:40:00,2025-07-22 05:30:00,LONG,116880.1,117113.0,0.8897528052330017,0.797056128459829,232.80980042368373,ML_EXIT,10
2025-07-22 07:05:00,2025-07-22 16:25:00,LONG,118127.0,119091.9,0.6191695928573608,3.2673309234975716,668.8285494898133,ML_EXIT,112
2025-07-22 18:25:00,2025-07-22 19:50:00,SHORT,119454.0,119200.1,0.4041042625904083,0.8502017513017369,115.88459634483269,ML_EXIT,17
2025-07-22 20:00:00,2025-07-22 21:55:00,SHORT,119661.7,119452.1,0.95,0.7006418929364744,225.27839376163655,ML_EXIT,23
2025-07-22 21:55:00,2025-07-23 00:55:00,SHORT,119452.1,119628.6,0.8495402932167053,-0.5910318864214191,-171.07078847659494,ML_EXIT,36
2025-07-23 00:55:00,2025-07-23 01:00:00,SHORT,119628.6,119571.8,0.95,0.18992113925935072,61.16342069613595,ML_EXIT,1
2025-07-23 01:00:00,2025-07-23 01:05:00,SHORT,119571.8,119535.6,0.95,0.12109878750674354,39.06979427894531,ML_EXIT,1
2025-07-23 01:05:00,2025-07-23 01:10:00,SHORT,119535.6,119462.8,0.95,0.24360943518082614,78.68551223812467,ML_EXIT,1
2025-07-23 01:10:00,2025-07-23 01:15:00,SHORT,119462.8,119526.5,0.95,-0.21328815329959483,-69.05121545951363,ML_EXIT,1
2025-07-23 01:15:00,2025-07-23 01:20:00,SHORT,119526.5,119633.2,0.95,-0.35707562758048494,-115.36761783784794,ML_EXIT,1
